jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village
674434,MOOLUR,Dakshina Kannada,Mangaluru,236264,Gurupura,617507,Mulur (CT)
587769,Neerumarga,Dakshina Kannada,Mangaluru,236263,Neermarga,617510,Neermarga (CT)
674495,PADUSHEDDE,Dakshina Kannada,Mangaluru,61550,Moodushedde,617524,Padushedde (OG)
167522,Akali Katte,Davangere,Channagiri,64711,Bulasagara,607016,Akalikatti
168015,Didagur,Davangere,Honnali,64823,Haralahalli,606827,Didagur
167981,NARAGINAKERE,Davangere,Nyamathi,64814,GUDDEHALLI,606708,Naraginakere
664230,Taralabalunagara,Davangere,Davanagere,64655,Belavanuru,924654,TARALABALUNAGAR
595950,Tyavanige Thanda,Davangere,Channagiri,64696,Tyavanagi,606925,Thyavanige Thanda
150780,Bettasoge Hantha (b),Hassan,Arkalgud,0,0,616775,Bettasoge Hantha
152772,Chikkakondagola,Hassan,Hassan,62307,Tejur,616046,Chikkakondagola(Part)
152739,Karle Kaval,Hassan,Hassan,62304,Karle,616143,Karle Kaval
152474,Kattaya Kaval,Hassan,Hassan,62276,Kattaya,616130,Kattaya Kaval
151437,Maratagere,Hassan,Arsikere,62184,PURALEHALLI,615588,Maratagere
152526,Ramadadevara Kaval,Hassan,Hassan,62282,Seege,615905,Ramadevarahalla Kaval
589427,Srirampura,Hassan,Holenarsipur,62327,Kattebelaguli,616806,Kattebelaguli Hantha
166656,Aregoppa.,Haveri,Hanagal,64467,Hullatti,604098,Hirekanagi
645720,HADE,Haveri,RATTIHALLI,64536,KADUR,924845,HADE
637324,bhankur,Kalaburagi,Shabad,61876,Bhankor,620714,Bhankur (OG)
149809,Hanchinal,Kalaburagi,Jevargi,61944,Harnoor,620860,Hanchinal Bhari
662333,Seribhiknalli,Kalaburagi,Chincholi,61849,Venktapur,620370,SERIBIKANALLI
661869,AMBATTI,Kodagu,Virajpet,62435,BITTANGALA,924036,AMBATTI
661894,BEERUGA,Kodagu,Ponnampet,62461,SRIMANGALA,924064,BEERUGA
702204,CHENNANGI,Kodagu,Virajpet,62449,Chennayanakote,924040,CHENNANGI
661862,CHIKKA ALUVARA,Kodagu,Kushalanagar,62421,Torenur,924016,CHIKKA ALUVARA
661828,GUDDEHOSURU,Kodagu,Kushalanagar,62416,GUDDEHOSUR,923977,GUDDEHOSURU
661841,HUDUGURU,Kodagu,Kushalanagar,0,0,923992,HUDUGURU
695841,Hudur,Kodagu,Ponnampet,62468,PONNAMPET,924028,Hudur
661842,MADALAPURA,Kodagu,Kushalanagar,0,0,939033,SHIRAHOLALU
701119,MADAPATNA,Kodagu,Kushalanagar,62416,GUDDEHOSUR,923978,MADAPATNA
702206,NOKYA SIDDAPURA,Kodagu,Ponnampet,62455,THITHIMATHI,939080,NOKYA SIDDAPURA
661768,P PERAJE,Kodagu,Madikeri,62383,Peraje,923915,P.PERAJE
