state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name,name_match_shrug_id,name_match_shrug_name,name_match_type,name_match_score,final_shrug_id,final_shrug_name,match_method
Karnataka,Chitradurga,Hosdurga,65317,Devigere,663810,Galirangyanahatti,927475,GALIRANGYANAHATTI,Chitradurga,Chitradurga.xls,247,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65257,Cholaghatta,169515,Garehatti,931789,Cholagatta Yane Gaarehatti,Chitradurga,Chitradurga.xls,258,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hosdurga,65299,S NERLAKERE,663938,Garimbilu,927537,GARIMBILU,Chitradurga,Chitradurga.xls,259,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hosdurga,65299,S NERLAKERE,663936,H S PALYA,927538,H.S.PALYA,Chitradurga,Chitradurga.xls,316,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Molakalmuru,65360,Ashoka Siddapura,664029,Hanumapura S,927438,HANUMAPURA.S,Chitradurga,Chitradurga.xls,341,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65235,Siddapura,663972,Hidayathpura,927408,HIDAYATHPURA,Chitradurga,Chitradurga.xls,357,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65230,Muddapura,664379,Hirekattegere Gollarahatti,927393,HIREKATTEGERE-GOLLARAHATTI,Chitradurga,Chitradurga.xls,364,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Molakalmuru,65360,Ashoka Siddapura,664062,Hosuru,927440,HOSURU,Chitradurga,Chitradurga.xls,383,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65239,Yelagodu,663993,HULLEHAL GOLLARAHATTI,927415,HU.GOLLARAHATTI,Chitradurga,Chitradurga.xls,394,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65246,Hireguntanur,663878,Hunasekatti Gollarahatti,927348,HUNASEKATTI GOLLARAHATTI,Chitradurga,Chitradurga.xls,398,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65256,Iyyanahalli,663906,Iyyanahalli Kurubarahatti,927361,IYYANAHALLI KURUBARAHATTI,Chitradurga,Chitradurga.xls,417,,,,,,,,,,,,,,unmatched
