jjm_village_id,jjm_village,jjm_district,lgd_village_id,matched_shrug_id,matched_shrug_name,matched_shrug_district,match_type,match_score
157718,Devegowdanakoppalu,Mandya,614185,614218,doddegowdanakoppalu,mandya,fuzzy_name,86.48648648648648
157385,Doddena Halli,Mandya,613856,613778,doddenahalli,mandya,fuzzy_name,96.0
157437,Gowdara Halli,Mandya,613742,613847,gowdarahalli,mandya,fuzzy_name,96.0
595375,Gowdenahally,Mandya,926857,613780,gondenahalli,mandya,fuzzy_name,83.33333333333334
157610,Jodi Vaddara Halli,Mandya,614036,613390,vaddarahalli,mandya,fuzzy_name,80.0
157054,Kadampura,Mandya,614732,614576,kadalipura,mandya,fuzzy_name,84.21052631578947
156723,M.hosur,Mandya,926878,613803,hosur,mandya,fuzzy_name,90.9090909090909
157095,N.kodihalli,Mandya,614762,614523,n kodihalli,mandya,fuzzy_name,95.23809523809523
665697,Alanahally,Mysuru,618836,618238,alanahalli,mysore,fuzzy_name,90.0
159029,B.shettahalli,Mysuru,619431,619140,shettahalli,mysore,fuzzy_name,95.65217391304348
158370,Beernahalli,Mysuru,618590,618373,beeranahalli,mysore,fuzzy_name,95.65217391304348
157985,CHIKKAKUNDURU,Mysuru,619012,618421,chikkahunsur,mysore,fuzzy_name,80.0
158061,Gundathur,Mysuru,619052,619054,k gandathur,mysore,fuzzy_name,80.0
157942,HALEMANCHAHALLI,Mysuru,618976,618977,manchahalli,mysore,fuzzy_name,84.61538461538461
158472,Rammanahally,Mysuru,618685,618728,rammanahalli,mysore,fuzzy_name,91.66666666666666
664411,Sathagalli,Mysuru,618835,619334,athahalli,mysore,fuzzy_name,84.21052631578947
158939,Vadderahosahalli Jungle,Mysuru,618174,618399,veeranahosahalli jungle,mysore,fuzzy_name,86.95652173913044
143085,BANDIGANAHALLI,RAMANAGARA,626363,625850,manniganahalli,ramanagara,fuzzy_name,85.71428571428572
143262,CHITTANAHALLI,RAMANAGARA,939013,625944,juttanahalli,ramanagara,fuzzy_name,80.0
143040,CHOODAHALLI,RAMANAGARA,626497,625813,hosahalli,ramanagara,fuzzy_name,80.0
142980,HOSAGABBADI,RAMANAGARA,626344,626345,hosagabbadi,ramanagara,fuzzy_name,100.0
142962,HOSAHALLI,RAMANAGARA,626506,625813,hosahalli,ramanagara,fuzzy_name,100.0
665574,RAMASAGARA,RAMANAGARA,626588,625783,kamasagara,ramanagara,fuzzy_name,90.0
696055,AGAPUR (D),Raichur,600788,600504,nagalapur d,raichur,fuzzy_name,84.21052631578947
700923,JOGALDINNI,Raichur,601107,600562,gajaldinni,raichur,fuzzy_name,80.0
159849,N.HOSUR,Raichur,600959,600480,hosur,raichur,fuzzy_name,90.9090909090909
644107,Anjanapura,Shivamogga,607842,607292,anandapuram,shimoga,fuzzy_name,85.71428571428572
665440,Chikkakoralahalli,Shivamogga,607844,607843,hirekoralahalli,shimoga,fuzzy_name,81.25
161748,Devagodikoppa,Shivamogga,607635,607711,devikoppa,shimoga,fuzzy_name,81.81818181818181
161254,Halakuni,Shivamogga,917445,608303,alkuni,shimoga,fuzzy_name,85.71428571428572
