jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village,shrid2,shrug_district,shrug_subdistrict,shrug_village,shrug_place,match_score,match_method
143704,Piranawadi,Belagavi,Belagavi,60114,Piranawadi,597800,Peeranwadi (CT),11-29-555-05433-597129,belgaum,chikodi,adi,adi,100.0,fuzzy
143767,Shindolli,Belagavi,Belagavi,60143,Nilaji,597766,Shindoli (Part),11-29-555-05439-597940,belgaum,khanapur,shindholli,shindholli,94.73684210526316,fuzzy
144058,Sultanpur,Belagavi,Hukeri,60308,Sulthanaput,597607,Sultanpur,11-29-555-05435-597411,belgaum,raybag,sultanpur,sultanpur,100.0,fuzzy
144521,Turanur,Belagavi,Ramdurg,60470,Turanur,598376,Turanur (Part),11-29-555-05437-597571,belgaum,hukeri,kamatanur,kamatanur,83.33333333333334,fuzzy
664306,Wadishidlihal,Belagavi,Hukeri,60294,Naganur K D,923728,WADISHIDLIHAL,11-29-555-05433-597129,belgaum,chikodi,adi,adi,100.0,fuzzy
144408,Yakkundi,Belagavi,Savadathi,60415,Yakkundi,598229,Yakkundi,11-29-555-05440-598045,belgaum,sampgaon,lakkundi,lakkundi,93.33333333333331,fuzzy
148215,B K PALYA,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,938495,Arebinnamangala,11-29-572-05542-612924,bangalore,bangalore north,arebinnamangala,arebinnamangala,100.0,fuzzy
665183,Bande Hosur,Bengaluru Urban,Bengaluru East,61437,Kannuru,938226,AMANI BAIRATIKHANE,11-29-572-05545-613332,bangalore,anekal,solur,solur,75.0,fuzzy
693546,BHEEMANAKUPPE RAMASAGARA,Bengaluru Urban,Bengaluru South,61419,Ramohalli,613014,BHEEMANAKUPPE RAMASAGARA,11-29-572-05543-613017,bangalore,bangalore south,bheemanakuppe,bheemanakuppe,100.0,fuzzy
665556,Byrasandra,Bengaluru Urban,Bengaluru South,61416,Agara,924146,BYRASANDRA,11-29-572-05542-612930,bangalore,bangalore north,marasandra,marasandra,88.88888888888889,fuzzy
665221,Channadasipalya,Bengaluru Urban,Bengaluru South,299653,Channenahalli,938427,ARAKERE,11-29-572-05542-612835,bangalore,bangalore north,arakere,arakere,100.0,fuzzy
148441,Chikka Gubbi,Bengaluru Urban,Bengaluru East,61437,Kannuru,613125,Chikkagubbi (OG),11-29-572-05542-612952,bangalore,bangalore north,,chikkabidarakallu,84.21052631578947,fuzzy
665302,Chikkagollarahatti,Bengaluru Urban,Bengaluru North,299657,Kachohalli,938346,BAGALAGUNTE,11-29-572-05542-612915,bangalore,bangalore north,bagalur,bagalur,83.33333333333334,fuzzy
665469,Chikkakodige Halli,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,939476,VYYALIKAVAL,11-29-572-05544-613093,bangalore,bangalore east,kodigehalli,kodigehalli,90.9090909090909,fuzzy
148335,Devegere,Bengaluru Urban,Bengaluru South,61417,K.Gollahalli,939479,AGARA (BEGUR HOBLI),11-29-572-05542-612776,bangalore,bangalore north,hanumantha sagara,hanumantha sagara,100.0,fuzzy
148268,Dodda Thogur,Bengaluru Urban,Bengaluru South,61401,Doddathoguru,938419,CHIKKATOGURU,11-29-572-05545-613313,bangalore,anekal,dodda hagade,dodda hagade,76.19047619047619,fuzzy
148451,Doddagubbi,Bengaluru Urban,Bengaluru East,61438,Doddagubbi,613126,Doddagubbi (OG),11-29-572-05544-613105,bangalore,bangalore east,doddabanahalli,doddabanahalli,75.0,fuzzy
665288,Doddapalya,Bengaluru Urban,Bengaluru North,61373,Huskuru,939406,AGRAHARA THIMMASANDRA,11-29-572-05542-612893,bangalore,bangalore north,thimmasandra,thimmasandra,100.0,fuzzy
665474,Gangadipura,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,938343,VISHVANATHA NAGENAHALLI,11-29-572-05543-612960,bangalore,bangalore south,naganahalli,naganahalli,90.9090909090909,fuzzy
147905,Giddenahalli,Bengaluru Urban,Anekal,61343,Kallubalu,613286,Giddenahalli,11-29-572-05542-612812,bangalore,bangalore north,giddenahalli,giddenahalli,100.0,fuzzy
665865,Gollahalli,Bengaluru Urban,Bengaluru South,61442,Chikkanahalli,924158,GOLLAHALLI,11-29-572-05542-612923,bangalore,bangalore north,gollahalli,gollahalli,100.0,fuzzy
665578,Gopalanagara,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,939488,MARENAHALLI ( UTTARAHALLI HOBLI),11-29-572-05542-612929,bangalore,bangalore north,marenahalli,marenahalli,100.0,fuzzy
148227,GOPALPURA,Bengaluru Urban,YELAHANKA,61392,Marenahalli,938533,CHIKKABOMMASANDRA,11-29-572-05545-613357,bangalore,anekal,,bommasandra,100.0,fuzzy
