villageid,villagename,districtid
665469,Chikkakodige Halli,194
155906,,612
665269,Hosapalya,194
665288,Doddapalya,194
665471,Kannahalli Hosahalli,194
665556,Byrasandra,194
665639,Nagegowdanapalya,194
703119,KUMBALAGODU,194
665779,TAREMARADAPALYA,205
588555,,205
586781,,210
588561,,205
586896,,210
586899,,210
588505,,205
588538,KUSUKUNTE KAVAL,205
155969,,612
586138,,205
588389,,205
165061,Hegde,206
162036,,205
168111,,210
637192,,209
645720,HADE,209
652273,,209
639057,,209
652948,,209
701084,SANGAPUR(H),192
701085,DADAMATTI,192
693324,SIDDAPUR K,192
692353,MUTTALADINNI,192
167981,NARAGINAKERE,210
164728,JAMAGA *,206
145836,,191
146347,,192
141990,,187
156142,,612
146351,KAPANUR,192
161232,Javagatte,204
165103,,206
154116,,612
141847,,187
154575,,612
141749,Mamatageri,187
168015,Didagur,210
141739,,187
161500,Oddigere,204
146419,,192
142035,,187
141916,,187
588589,Lingapur Sr Rc,187
164658,Lakkeguli,206
664440,,187
664436,,187
664356,,187
664424,,187
664441,,187
664350,Chikkahanchinal Puk,187
665293,PURADHADODDI,613
607417,,613
146099,,192
589746,PAPASHASTRI PALYA,613
604355,,613
588697,,613
154135,,612
588623,,613
588667,,613
154520,,612
154556,,612
167964,,210
154654,,612
154788,,612
164581,Vandige,206
146382,,192
164600,Bobruwada,206
163574,KALLUKOTE,205
588712,,613
588613,,613
588666,,613
588698,,613
588709,,613
154354,,612
588710,,613
588463,,612
588375,,612
589058,,612
589060,,612
588357,,612
588732,,612
164798,,206
588735,,612
588736,,612
594765,,612
594772,,612
164580,Laxmeshwar,206
589070,,612
164678,,206
588726,,612
589059,,612
588733,,612
607402,RANGACHARIPALYA,613
588734,,612
644673,,612
626118,,612
664522,,612
146142,,192
664926,,612
664989,CHITTAVALAHALLI,612
665070,,612
664995,DEVARAKODAHHALLI,612
664864,MUSTURUPATNA,612
0,,690
664992,,612
665042,,612
664984,DIGAVAKOTE,612
664878,,612
664553,,612
664870,,612
664513,GARUDACHARLAHALLY,612
665077,,612
665131,,612
665075,MIDDILU,612
167522,Akali Katte,210
665134,VANTURU,612
664535,THEELAKUNTAHALLY,612
665088,,612
665620,CHANNABYRENAHALLY,612
696751,OBANNANAHALLI KAVAL,213
664103,B.hanumanagudda,213
588621,,613
588668,,613
664157,,213
664330,PANJAIAHNAHATTI,213
663735,,213
663818,KAMBHATHANAHALLI,213
663901,Bilichittyanahatti,213
663933,Ajadnagara,213
663984,Bangarakkanahalli,213
663986,Bogalerahatti,213
663878,Hunasekatti Gollarahatti,213
664379,Hirekattegere Gollarahatti,213
664102,B Hanumapura,213
588622,,613
150066,,690
663748,,213
589899,,213
663993,HULLEHAL GOLLARAHATTI,213
